WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
963,BIH,NGDPD,Bosnia and Herzegovina,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.584,4.578,5.281,5.766,5.554,5.784,6.711,8.477,10.157,10.935,12.46,15.323,18.712,17.601,17.164,18.629,17.207,18.155,18.522,15.995,16.532,17.329,18.286,19.402,20.725,22.053,2015
616,BWA,NGDPD,Botswana,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.175,1.038,1.095,1.21,1.201,1.118,1.516,2.376,3.084,3.444,3.803,3.806,3.932,3.961,4.261,4.732,4.881,5.024,4.819,5.485,5.804,5.516,5.456,7.538,8.969,10.027,10.165,10.942,11.028,10.317,13.755,15.334,14.701,14.814,15.88,14.414,10.948,11.048,11.772,12.728,13.324,13.761,2015
223,BRA,NGDPD,Brazil,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",152.154,174.864,186.95,149.893,149.168,236.798,274.694,298.989,334.013,458.527,475.119,416.596,399.082,447.832,558.374,786.479,850.8,883.534,864.017,599.438,655.454,559.982,509.798,558.232,669.29,891.633,"1,107.63","1,397.11","1,695.86","1,669.21","2,208.71","2,612.40","2,459.53","2,464.69","2,417.16","1,772.59","1,769.60","1,953.86","2,028.92","2,118.32","2,213.76","2,314.84",2014
516,BRN,NGDPD,Brunei Darussalam,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,4.434,2.704,3.105,2.955,3.314,3.908,4.109,4.646,4.558,4.537,5.255,5.679,5.769,4.496,5.106,6.662,6.218,6.487,7.279,8.739,10.581,12.736,13.576,16.005,11.892,13.707,18.525,19.047,18.092,17.122,12.93,10.458,11.82,12.527,14.31,16.553,18.867,2015
918,BGR,NGDPD,Bulgaria,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.962,26.924,28.081,28.857,30.654,26.246,23.229,26.926,44.002,44.815,19.759,1.936,7.857,4.264,7.497,12.558,9.487,10.02,13.221,13.495,13.148,14.135,16.361,21.076,26.094,29.821,34.305,44.765,54.661,51.784,49.94,56.952,53.575,55.628,56.717,48.953,50.446,52.667,55.125,57.942,61.087,63.796,2015
748,BFA,NGDPD,Burkina Faso,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.121,1.846,1.719,1.571,1.404,1.553,2.036,2.37,2.616,2.616,3.101,3.135,3.357,3.2,1.924,2.38,2.587,2.448,2.805,3.013,2.633,2.836,3.218,4.212,4.843,5.474,5.82,6.781,8.409,8.391,9.123,10.734,11.172,12.201,12.482,11.011,12.006,13.092,14.192,15.451,16.818,18.184,2014
618,BDI,NGDPD,Burundi,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.951,0.989,1.045,1.106,1.005,1.17,1.233,1.161,1.088,1.131,1.131,1.167,1.082,0.938,0.924,1,0.868,0.972,0.893,0.866,0.87,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.575,2.934,2.867,2.742,2.6,2.644,2.899,3.034,3.393,2015
624,CPV,NGDPD,Cabo Verde,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.157,0.154,0.155,0.152,0.145,0.152,0.21,0.26,0.292,0.295,0.339,0.353,0.395,0.398,0.448,0.536,0.553,0.54,0.575,0.652,0.589,0.616,0.679,0.891,1.023,1.09,1.237,1.514,1.789,1.712,1.664,1.865,1.752,1.851,1.885,1.604,1.684,1.779,1.898,2.033,2.183,2.31,2015
522,KHM,NGDPD,Cambodia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,0.205,0.141,0.276,0.346,0.899,2.011,2.439,2.427,2.765,3.441,3.507,3.443,3.13,3.513,3.667,3.992,4.289,4.665,5.334,6.287,7.268,8.63,10.342,10.391,11.232,12.818,14.057,15.244,16.778,17.789,19.368,20.937,22.743,24.733,26.834,29.057,2013
622,CMR,NGDPD,Cameroon,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.672,8.691,8.335,8.401,8.879,9.274,12.088,14.002,14.219,12.678,12.692,14.152,12.97,13.532,9.207,8.733,9.732,9.841,9.828,10.015,9.027,9.638,10.888,13.63,15.784,16.617,17.97,20.461,23.432,23.442,23.667,26.612,26.487,29.576,32.101,28.539,30.87,33.118,35.41,37.819,40.547,43.09,2014
